,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
215,"California State University, Los Angeles",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
216,"California State University, Monterey Bay",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
217,"California State University, Northridge",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
218,"California State University, Sacramento",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
219,"California State University, San Bernardino",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
220,"California State University, Stanislaus",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
221,California University of Pennsylvania,0.0,30574,Most difficult,17,3.91,715.0,700.0,Not available ch,,,Not reported,,,10186,54,9921,27381
222,California Western School of Law,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
223,Calumet College of St. Joseph,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
224,Calvary University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
225,Calvin College,1.0,30574,Most difficult,17,3.91,715.0,700.0,50900,,,36300,,,10600,76,25639,29768
226,Cambridge College,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,14940,,,Not reported,42,4646,Not reported
227,Cameron University,0.0,30574,Most difficult,17,3.91,715.0,700.0,,16162.0,25582.0,,6450.0,15870.0,5452,53,8280,24633
228,Campbell University,1.0,30574,Most difficult,17,3.91,715.0,700.0,43710,,,32500,,,11210,79,29690,29975
229,Campbellsville University,1.0,30574,Most difficult,17,3.91,715.0,700.0,39586,,,25400,,,8000,73,23210,21912
230,Canisius College,1.0,30574,Most difficult,17,3.91,715.0,700.0,43344,,,29428,,,11416,80,24033,34561
231,Capital University,1.0,30574,Most difficult,17,3.91,715.0,700.0,50056,,,35466,,,10584,87,31106,33496
232,Capitol Technology University,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
233,Cardinal Stritch University,1.0,30574,Most difficult,17,3.91,715.0,700.0,38622,,,29998,,,8624,82,29227,28270
234,Carleton College,1.0,30574,Most difficult,17,3.91,715.0,700.0,71300,,,54759,,,14085,100,49191,21020
235,Carlow University,1.0,30574,Most difficult,17,3.91,715.0,700.0,43186,,,28596,,,11108,72,24313,Not reported
236,Carnegie Mellon University,1.0,30574,Most difficult,17,3.91,715.0,700.0,74491,,,57119,,,14972,97,46590,27818
237,Carroll College,1.0,30574,Most difficult,17,3.91,715.0,700.0,49916,,,35486,,,9980,81,26295,30794
238,Carroll University,1.0,30574,Most difficult,17,3.91,715.0,700.0,45630,,,31918,,,9896,88,23273,35997
239,Carson-Newman University,1.0,30574,Most difficult,17,3.91,715.0,700.0,41320,,,27900,,,8810,80,24299,24557
240,Carthage College,1.0,30574,Most difficult,17,3.91,715.0,700.0,105900,,,90200,,,11600,80,38981,54496
